grid_id,flooded,pred_class,result_type
4592,0,0,True Negative
40,0,0,True Negative
173,0,0,True Negative
4257,1,1,True Positive
4133,0,0,True Negative
2512,1,1,True Positive
4307,0,0,True Negative
4605,0,0,True Negative
4056,0,0,True Negative
3699,1,0,False Negative
754,0,0,True Negative
3666,0,0,True Negative
3468,0,0,True Negative
3388,0,0,True Negative
1599,0,1,False Positive
3451,0,0,True Negative
2387,1,0,False Negative
4453,0,0,True Negative
2676,0,0,True Negative
37,0,1,False Positive
2637,0,0,True Negative
2118,1,0,False Negative
2961,0,0,True Negative
3782,0,0,True Negative
2370,0,0,True Negative
1774,0,0,True Negative
790,0,0,True Negative
3967,0,0,True Negative
3991,1,1,True Positive
3867,0,0,True Negative
2559,0,0,True Negative
3275,0,0,True Negative
4047,0,0,True Negative
2943,0,0,True Negative
4128,0,0,True Negative
3462,0,0,True Negative
848,0,1,False Positive
4163,0,0,True Negative
2401,0,0,True Negative
4472,0,0,True Negative
762,0,0,True Negative
1838,0,0,True Negative
1382,0,0,True Negative
2852,1,0,False Negative
3723,1,1,True Positive
3338,0,0,True Negative
1522,0,0,True Negative
3078,0,0,True Negative
3531,0,0,True Negative
726,0,0,True Negative
977,0,0,True Negative
3839,0,0,True Negative
512,0,0,True Negative
2072,0,0,True Negative
3645,0,0,True Negative
3897,0,0,True Negative
3377,0,0,True Negative
2188,0,0,True Negative
2100,1,0,False Negative
631,0,0,True Negative
3125,1,0,False Negative
1463,0,0,True Negative
1939,0,0,True Negative
922,0,0,True Negative
1910,0,0,True Negative
2394,0,0,True Negative
802,0,0,True Negative
3130,0,0,True Negative
436,0,0,True Negative
2235,1,0,False Negative
2921,1,0,False Negative
573,0,0,True Negative
1451,0,0,True Negative
936,0,0,True Negative
3446,0,0,True Negative
3892,0,0,True Negative
2945,0,0,True Negative
3997,0,0,True Negative
1396,0,0,True Negative
510,0,0,True Negative
3767,0,0,True Negative
785,0,0,True Negative
2772,0,0,True Negative
1968,0,0,True Negative
3969,0,0,True Negative
2767,0,0,True Negative
3103,0,0,True Negative
4594,0,0,True Negative
2034,1,0,False Negative
719,0,0,True Negative
2053,1,0,False Negative
4105,0,0,True Negative
1036,0,0,True Negative
2878,0,0,True Negative
2173,0,0,True Negative
108,0,0,True Negative
4243,0,0,True Negative
1000,0,0,True Negative
4330,0,0,True Negative
584,1,1,True Positive
712,0,0,True Negative
957,0,0,True Negative
3847,0,0,True Negative
1872,0,0,True Negative
4259,1,1,True Positive
629,0,0,True Negative
2803,0,0,True Negative
3521,0,0,True Negative
2607,0,0,True Negative
3563,0,0,True Negative
2382,0,0,True Negative
3374,0,0,True Negative
1136,0,0,True Negative
992,0,0,True Negative
3207,0,0,True Negative
4321,0,0,True Negative
2984,0,0,True Negative
3762,0,0,True Negative
3775,0,0,True Negative
2798,0,0,True Negative
2536,0,0,True Negative
2648,1,1,True Positive
3143,0,0,True Negative
317,1,1,True Positive
4231,0,0,True Negative
3184,1,0,False Negative
3334,0,0,True Negative
2397,0,0,True Negative
2455,1,1,True Positive
2590,1,1,True Positive
258,0,0,True Negative
4335,0,0,True Negative
3165,0,0,True Negative
4185,0,0,True Negative
980,0,1,False Positive
4260,0,0,True Negative
1458,0,0,True Negative
1186,1,0,False Negative
1848,0,0,True Negative
833,0,0,True Negative
402,0,0,True Negative
3520,0,0,True Negative
305,0,0,True Negative
2260,0,0,True Negative
3176,0,0,True Negative
772,0,0,True Negative
4251,0,0,True Negative
3630,1,0,False Negative
2838,0,0,True Negative
4408,0,0,True Negative
103,0,0,True Negative
2939,0,0,True Negative
3724,0,0,True Negative
4252,0,0,True Negative
4518,0,0,True Negative
1673,0,0,True Negative
3235,0,0,True Negative
3444,0,0,True Negative
4102,0,0,True Negative
4045,0,0,True Negative
732,0,0,True Negative
4387,0,0,True Negative
780,0,0,True Negative
650,1,1,True Positive
238,0,0,True Negative
3858,0,0,True Negative
2744,0,0,True Negative
3833,0,0,True Negative
1307,0,1,False Positive
3934,0,0,True Negative
3497,0,0,True Negative
2123,0,0,True Negative
2846,0,0,True Negative
1171,0,0,True Negative
3135,0,0,True Negative
2929,0,0,True Negative
2064,0,0,True Negative
1093,0,0,True Negative
2930,0,0,True Negative
2323,0,0,True Negative
2605,0,0,True Negative
1600,0,0,True Negative
380,0,0,True Negative
3305,1,0,False Negative
3587,0,0,True Negative
4542,0,0,True Negative
1638,0,0,True Negative
3718,0,0,True Negative
914,0,1,False Positive
4258,0,0,True Negative
2327,0,0,True Negative
575,0,0,True Negative
703,0,0,True Negative
3209,0,0,True Negative
527,0,0,True Negative
4546,0,0,True Negative
3726,0,0,True Negative
3399,0,0,True Negative
2244,0,0,True Negative
897,0,0,True Negative
3181,0,0,True Negative
3604,0,0,True Negative
2716,1,1,True Positive
2425,1,0,False Negative
393,0,0,True Negative
4478,0,0,True Negative
3425,0,0,True Negative
313,0,0,True Negative
3443,0,0,True Negative
4035,0,0,True Negative
2250,0,0,True Negative
2253,1,1,True Positive
2398,0,0,True Negative
3633,1,0,False Negative
4462,0,0,True Negative
386,0,0,True Negative
4431,0,0,True Negative
1578,0,0,True Negative
2668,0,0,True Negative
2126,0,0,True Negative
1379,0,0,True Negative
4364,0,0,True Negative
1977,0,0,True Negative
2108,1,0,False Negative
4192,1,1,True Positive
583,1,0,False Negative
1652,1,1,True Positive
333,1,1,True Positive
4331,0,0,True Negative
3717,0,0,True Negative
2726,1,1,True Positive
1371,0,0,True Negative
4539,0,0,True Negative
3335,0,0,True Negative
2859,1,1,True Positive
105,0,0,True Negative
2696,0,0,True Negative
2830,1,0,False Negative
1051,1,1,True Positive
846,0,0,True Negative
4337,0,0,True Negative
3923,0,0,True Negative
581,1,1,True Positive
2258,0,0,True Negative
3190,0,0,True Negative
3995,0,0,True Negative
4386,0,0,True Negative
2363,1,1,True Positive
2931,0,0,True Negative
530,0,0,True Negative
599,0,0,True Negative
392,0,0,True Negative
3900,0,0,True Negative
2919,1,0,False Negative
1503,0,0,True Negative
1124,0,0,True Negative
2865,0,0,True Negative
1916,1,0,False Negative
1772,0,0,True Negative
1993,0,0,True Negative
1850,1,1,True Positive
3672,0,0,True Negative
1654,1,0,False Negative
3857,1,1,True Positive
2713,0,0,True Negative
1044,0,0,True Negative
3045,0,0,True Negative
1969,0,0,True Negative
2737,0,0,True Negative
2570,0,0,True Negative
1204,0,0,True Negative
248,0,0,True Negative
1438,0,0,True Negative
639,0,0,True Negative
4608,0,0,True Negative
2566,0,0,True Negative
253,1,1,True Positive
659,0,0,True Negative
801,0,0,True Negative
1311,0,0,True Negative
4098,0,0,True Negative
3658,0,0,True Negative
4191,0,0,True Negative
662,0,0,True Negative
4407,0,0,True Negative
3785,0,0,True Negative
1923,0,0,True Negative
3925,0,0,True Negative
1444,0,0,True Negative
979,0,0,True Negative
3112,0,0,True Negative
3850,0,0,True Negative
2005,0,0,True Negative
1797,0,0,True Negative
2908,0,0,True Negative
1702,0,0,True Negative
3603,0,0,True Negative
1335,0,0,True Negative
1928,0,1,False Positive
1264,0,0,True Negative
995,0,0,True Negative
1169,0,1,False Positive
2503,0,0,True Negative
594,0,0,True Negative
1906,0,0,True Negative
1045,0,0,True Negative
2911,0,0,True Negative
3260,0,0,True Negative
1398,0,0,True Negative
2119,1,1,True Positive
4200,0,0,True Negative
828,0,0,True Negative
2665,0,0,True Negative
251,1,1,True Positive
2234,1,0,False Negative
1058,0,0,True Negative
1598,0,0,True Negative
2371,0,0,True Negative
2402,0,0,True Negative
456,0,0,True Negative
2738,0,0,True Negative
579,0,0,True Negative
2255,0,0,True Negative
3667,0,0,True Negative
4577,0,0,True Negative
2385,0,0,True Negative
398,0,0,True Negative
2033,1,0,False Negative
3429,0,0,True Negative
528,0,0,True Negative
2979,0,1,False Positive
1372,0,0,True Negative
904,0,0,True Negative
2639,0,0,True Negative
3827,0,0,True Negative
838,0,0,True Negative
1852,1,1,True Positive
3123,0,0,True Negative
114,1,1,True Positive
2727,0,0,True Negative
694,0,0,True Negative
2466,0,0,True Negative
935,0,0,True Negative
3498,0,0,True Negative
3769,0,0,True Negative
4533,0,0,True Negative
3459,0,0,True Negative
1190,0,0,True Negative
2792,1,1,True Positive
932,0,0,True Negative
1260,0,0,True Negative
1569,0,0,True Negative
2715,1,1,True Positive
2051,1,0,False Negative
3424,0,0,True Negative
3173,1,1,True Positive
2786,1,1,True Positive
4118,0,0,True Negative
2809,0,0,True Negative
733,0,0,True Negative
3467,0,0,True Negative
708,0,0,True Negative
1837,0,0,True Negative
3665,0,0,True Negative
1519,1,0,False Negative
821,0,0,True Negative
383,1,0,False Negative
3730,0,0,True Negative
1267,0,0,True Negative
3826,0,0,True Negative
2576,0,0,True Negative
2263,0,0,True Negative
4432,0,0,True Negative
1574,0,0,True Negative
184,1,1,True Positive
118,1,1,True Positive
3205,0,0,True Negative
1869,0,0,True Negative
3341,0,0,True Negative
3904,0,0,True Negative
1511,0,0,True Negative
4468,0,0,True Negative
3799,0,0,True Negative
4464,0,0,True Negative
1071,0,0,True Negative
1635,0,0,True Negative
111,1,1,True Positive
2832,0,0,True Negative
2105,1,0,False Negative
2198,0,0,True Negative
4433,0,0,True Negative
4575,0,0,True Negative
570,0,0,True Negative
2238,0,0,True Negative
2694,0,0,True Negative
1659,0,0,True Negative
2672,0,0,True Negative
2537,0,0,True Negative
3236,0,0,True Negative
2710,0,0,True Negative
734,0,0,True Negative
517,1,1,True Positive
4372,0,0,True Negative
1986,0,0,True Negative
3465,0,0,True Negative
1715,0,0,True Negative
2629,0,0,True Negative
4134,0,0,True Negative
566,0,0,True Negative
2644,0,0,True Negative
1721,1,1,True Positive
577,0,0,True Negative
175,0,0,True Negative
4198,0,0,True Negative
2035,1,0,False Negative
3058,1,1,True Positive
2697,0,0,True Negative
1708,0,0,True Negative
1174,0,0,True Negative
3565,0,0,True Negative
1337,0,0,True Negative
1733,0,0,True Negative
637,0,0,True Negative
3074,0,0,True Negative
2037,1,0,False Negative
2120,1,1,True Positive
1584,1,1,True Positive
2523,1,1,True Positive
2112,0,0,True Negative
3985,0,0,True Negative
1466,0,0,True Negative
122,1,1,True Positive
4046,0,0,True Negative
3493,0,0,True Negative
2102,1,0,False Negative
3575,0,0,True Negative
503,0,0,True Negative
3640,0,0,True Negative
839,0,0,True Negative
1769,0,0,True Negative
463,0,0,True Negative
2805,0,0,True Negative
464,0,0,True Negative
1671,0,0,True Negative
3427,0,0,True Negative
3976,0,0,True Negative
925,0,0,True Negative
3067,0,0,True Negative
2662,0,0,True Negative
1582,0,0,True Negative
4313,0,0,True Negative
1258,0,0,True Negative
2249,0,0,True Negative
1465,0,0,True Negative
2801,0,0,True Negative
895,0,0,True Negative
1323,0,0,True Negative
3869,0,0,True Negative
4107,0,0,True Negative
4249,0,0,True Negative
3660,0,0,True Negative
3047,0,0,True Negative
2036,1,0,False Negative
3470,0,0,True Negative
1057,0,0,True Negative
1672,0,0,True Negative
3729,0,0,True Negative
4588,0,0,True Negative
2456,1,0,False Negative
2528,0,0,True Negative
4338,0,0,True Negative
4206,0,0,True Negative
3474,0,0,True Negative
4100,0,0,True Negative
3634,0,0,True Negative
4336,0,0,True Negative
4340,0,0,True Negative
709,0,0,True Negative
2854,0,0,True Negative
1119,1,0,False Negative
3095,0,0,True Negative
2731,0,0,True Negative
1656,0,0,True Negative
2937,0,0,True Negative
3210,0,0,True Negative
372,0,0,True Negative
2530,0,0,True Negative
2461,0,0,True Negative
4315,0,0,True Negative
1516,0,0,True Negative
3116,1,0,False Negative
2666,0,0,True Negative
2720,0,0,True Negative
3639,0,0,True Negative
2266,0,0,True Negative
4297,0,0,True Negative
3168,0,0,True Negative
825,0,0,True Negative
4376,0,0,True Negative
4501,0,0,True Negative
2985,1,0,False Negative
3834,0,0,True Negative
2317,0,0,True Negative
504,0,0,True Negative
1779,0,0,True Negative
3648,0,0,True Negative
1306,0,1,False Positive
2833,0,0,True Negative
758,0,0,True Negative
3924,1,1,True Positive
3461,0,0,True Negative
2242,0,0,True Negative
1571,0,0,True Negative
3472,0,0,True Negative
697,0,0,True Negative
2389,0,0,True Negative
2335,0,0,True Negative
1246,1,1,True Positive
3914,0,0,True Negative
469,0,0,True Negative
3702,1,0,False Negative
2896,0,0,True Negative
4131,0,0,True Negative
2433,0,0,True Negative
1315,0,0,True Negative
2324,0,0,True Negative
990,0,0,True Negative
2182,0,0,True Negative
1502,0,0,True Negative
3278,0,0,True Negative
1236,0,1,False Positive
3365,0,0,True Negative
670,0,0,True Negative
3256,0,0,True Negative
329,0,1,False Positive
1605,0,0,True Negative
3428,0,0,True Negative
1805,0,0,True Negative
1568,0,0,True Negative
2674,0,0,True Negative
3029,0,0,True Negative
534,0,0,True Negative
3578,0,0,True Negative
894,0,0,True Negative
2074,0,0,True Negative
2069,0,0,True Negative
702,0,0,True Negative
2062,0,0,True Negative
3060,0,0,True Negative
4237,0,0,True Negative
318,1,0,False Negative
4264,0,0,True Negative
3492,0,0,True Negative
4512,0,0,True Negative
3401,0,0,True Negative
3052,1,1,True Positive
4239,0,0,True Negative
1720,1,0,False Negative
3167,0,0,True Negative
1846,0,0,True Negative
4569,0,0,True Negative
2070,0,0,True Negative
2311,1,1,True Positive
2640,0,0,True Negative
3659,0,0,True Negative
2650,1,0,False Negative
1858,1,0,False Negative
1301,0,0,True Negative
3132,0,0,True Negative
3336,0,0,True Negative
3509,0,0,True Negative
2598,0,0,True Negative
1450,0,0,True Negative
3395,0,0,True Negative
3731,0,0,True Negative
3625,0,0,True Negative
2700,0,0,True Negative
171,0,0,True Negative
1434,0,0,True Negative
4111,0,0,True Negative
4246,0,0,True Negative
985,1,1,True Positive
3310,0,0,True Negative
3009,0,0,True Negative
1404,0,0,True Negative
4269,0,0,True Negative
1996,0,0,True Negative
3317,0,0,True Negative
174,1,0,False Negative
4194,0,0,True Negative
246,0,0,True Negative
2267,0,0,True Negative
853,1,0,False Negative
3840,0,0,True Negative
1031,0,0,True Negative
445,0,0,True Negative
3860,0,0,True Negative
731,0,0,True Negative
3764,0,0,True Negative
55,1,1,True Positive
2168,1,0,False Negative
3524,0,0,True Negative
2454,1,0,False Negative
3054,1,0,False Negative
3843,0,0,True Negative
3763,0,0,True Negative
4103,0,0,True Negative
3128,0,0,True Negative
1585,1,1,True Positive
1046,1,1,True Positive
3992,0,0,True Negative
1789,0,0,True Negative
1099,0,0,True Negative
2974,0,0,True Negative
3642,0,0,True Negative
307,0,0,True Negative
1573,0,0,True Negative
1024,0,0,True Negative
4195,0,0,True Negative
1469,0,1,False Positive
625,0,0,True Negative
460,0,0,True Negative
2994,0,0,True Negative
1771,0,0,True Negative
1507,0,0,True Negative
4072,0,0,True Negative
1785,1,0,False Negative
3594,0,0,True Negative
3400,0,0,True Negative
1836,0,0,True Negative
776,0,0,True Negative
3656,1,1,True Positive
2645,0,0,True Negative
927,0,0,True Negative
3561,0,0,True Negative
705,0,0,True Negative
4230,0,0,True Negative
1914,0,0,True Negative
1917,1,1,True Positive
3838,0,0,True Negative
2462,0,0,True Negative
1317,0,0,True Negative
1241,0,1,False Positive
3129,0,0,True Negative
1047,1,1,True Positive
1738,0,0,True Negative
43,0,0,True Negative
2998,0,0,True Negative
1806,0,0,True Negative
1509,0,0,True Negative
3669,0,0,True Negative
590,0,0,True Negative
4409,0,0,True Negative
1302,0,0,True Negative
2975,0,0,True Negative
3131,0,0,True Negative
592,0,0,True Negative
3194,0,0,True Negative
3368,0,0,True Negative
1854,0,0,True Negative
3109,1,0,False Negative
2428,1,0,False Negative
3339,0,0,True Negative
1595,0,0,True Negative
1470,0,0,True Negative
3449,0,0,True Negative
4378,0,0,True Negative
4172,0,0,True Negative
3794,0,0,True Negative
4168,0,0,True Negative
508,0,0,True Negative
2046,0,0,True Negative
384,1,1,True Positive
652,0,0,True Negative
3527,0,0,True Negative
3369,0,0,True Negative
3188,0,0,True Negative
2509,0,0,True Negative
3072,0,0,True Negative
448,1,0,False Negative
3728,0,0,True Negative
2800,0,0,True Negative
3693,1,1,True Positive
2518,0,0,True Negative
3532,0,0,True Negative
1175,0,1,False Positive
3766,0,0,True Negative
395,0,0,True Negative
2365,1,0,False Negative
2500,0,0,True Negative
2330,0,0,True Negative
1575,0,0,True Negative
4570,0,0,True Negative
765,0,0,True Negative
2860,1,1,True Positive
2445,1,1,True Positive
1022,0,0,True Negative
3391,1,1,True Positive
4507,0,0,True Negative
3599,0,0,True Negative
3099,0,0,True Negative
722,1,0,False Negative
3211,0,0,True Negative
3051,1,0,False Negative
4125,1,1,True Positive
1975,0,0,True Negative
890,0,0,True Negative
3631,1,0,False Negative
3261,0,0,True Negative
3460,0,0,True Negative
2988,1,0,False Negative
116,0,1,False Positive
1650,1,0,False Negative
3386,0,0,True Negative
2853,1,1,True Positive
4450,0,0,True Negative
2771,0,0,True Negative
2239,0,0,True Negative
4333,0,0,True Negative
830,0,0,True Negative
633,0,0,True Negative
2742,0,0,True Negative
2381,0,0,True Negative
3075,0,0,True Negative
644,0,0,True Negative
4611,0,0,True Negative
4068,0,0,True Negative
2467,0,0,True Negative
3306,0,0,True Negative
626,0,0,True Negative
3713,0,0,True Negative
3229,0,0,True Negative
1106,0,0,True Negative
2719,0,0,True Negative
2910,0,0,True Negative
1336,0,1,False Positive
462,0,0,True Negative
3984,0,0,True Negative
1508,0,0,True Negative
1851,1,1,True Positive
4197,0,0,True Negative
4371,0,0,True Negative
4534,0,0,True Negative
1468,0,0,True Negative
959,0,0,True Negative
3835,0,0,True Negative
1032,0,0,True Negative
4262,0,0,True Negative
3299,0,0,True Negative
250,1,0,False Negative
2670,0,0,True Negative
2791,1,0,False Negative
3031,0,0,True Negative
1176,0,0,True Negative
1101,0,0,True Negative
178,1,1,True Positive
1583,0,0,True Negative
3670,0,0,True Negative
4182,0,0,True Negative
3791,0,0,True Negative
1125,0,0,True Negative
3307,0,0,True Negative
2427,1,0,False Negative
4584,0,0,True Negative
2978,1,1,True Positive
370,0,0,True Negative
3057,0,0,True Negative
2785,1,1,True Positive
3704,0,0,True Negative
646,0,0,True Negative
388,0,0,True Negative
1716,0,0,True Negative
4383,0,0,True Negative
2784,1,1,True Positive
1167,0,1,False Positive
3189,0,0,True Negative
1728,0,0,True Negative
1401,0,0,True Negative
1439,0,0,True Negative
2065,0,0,True Negative
1035,0,0,True Negative
2827,0,0,True Negative
2041,0,0,True Negative
242,1,0,False Negative
4536,0,0,True Negative
1108,0,0,True Negative
663,0,0,True Negative
